date,positive,negative,neutral,non_irony,irony,non-hate,hate,non-offensive,offensive
2022-02-25,0.44,0.18,0.38,0.83,0.17,0.98,0.02,0.89,0.11
2022-02-26,0.42,0.14,0.44,0.7,0.3,1.0,0.0,0.95,0.05
2022-02-27,0.44,0.16,0.4,0.78,0.22,1.0,0.0,0.91,0.09
2022-02-28,0.45,0.2,0.35,0.86,0.14,0.98,0.02,0.9,0.1
2022-03-01,0.38,0.26,0.36,0.78,0.22,0.99,0.01,0.89,0.11
2022-03-02,0.45,0.24,0.31,0.77,0.23,0.99,0.01,0.88,0.12
2022-03-03,0.49,0.21,0.3,0.85,0.15,0.99,0.01,0.89,0.11
2022-03-04,0.42,0.19,0.39,0.75,0.25,0.99,0.01,0.92,0.08
2022-03-05,0.42,0.12,0.46,0.84,0.16,1.0,0.0,0.95,0.05
2022-03-06,0.52,0.19,0.29,0.86,0.14,1.0,0.0,0.92,0.08
2022-03-07,0.54,0.12,0.34,0.78,0.22,1.0,0.0,0.95,0.05
2022-03-08,0.43,0.18,0.39,0.77,0.23,0.97,0.03,0.93,0.07
2022-03-09,0.48,0.23,0.29,0.84,0.16,1.0,0.0,0.86,0.14
2022-03-10,0.39,0.21,0.4,0.83,0.17,0.99,0.01,0.93,0.07
2022-03-11,0.48,0.21,0.31,0.74,0.26,1.0,0.0,0.92,0.08
2022-03-12,0.38,0.25,0.37,0.82,0.18,0.99,0.01,0.9,0.1
2022-03-13,0.41,0.22,0.37,0.86,0.14,1.0,0.0,0.9,0.1
2022-03-14,0.35,0.21,0.44,0.77,0.23,0.98,0.02,0.88,0.12
2022-03-15,0.45,0.14,0.41,0.8,0.2,0.99,0.01,0.94,0.06
2022-03-16,0.43,0.17,0.4,0.75,0.25,1.0,0.0,0.9,0.1
2022-03-17,0.39,0.22,0.39,0.8,0.2,0.98,0.02,0.89,0.11
2022-03-18,0.47,0.16,0.37,0.83,0.17,1.0,0.0,0.94,0.06
2022-03-19,0.43,0.23,0.34,0.78,0.22,0.98,0.02,0.86,0.14
2022-03-20,0.46,0.17,0.37,0.84,0.16,1.0,0.0,0.95,0.05
2022-03-21,0.46,0.21,0.33,0.84,0.16,1.0,0.0,0.89,0.11
2022-03-22,0.36,0.22,0.42,0.83,0.17,0.97,0.03,0.88,0.12
2022-03-23,0.34,0.32,0.34,0.81,0.19,0.98,0.02,0.89,0.11
2022-03-24,0.45,0.23,0.32,0.84,0.16,0.99,0.01,0.89,0.11
2022-03-25,0.57,0.19,0.24,0.8,0.2,0.99,0.01,0.86,0.14
2022-03-26,0.49,0.15,0.36,0.77,0.23,1.0,0.0,0.9,0.1
2022-03-27,0.48,0.18,0.34,0.79,0.21,0.99,0.01,0.91,0.09
2022-03-28,0.51,0.23,0.26,0.86,0.14,0.98,0.02,0.89,0.11
2022-03-29,0.51,0.14,0.35,0.79,0.21,0.97,0.03,0.88,0.12
2022-03-30,0.37,0.24,0.39,0.78,0.22,0.99,0.01,0.94,0.06
2022-03-31,0.47,0.21,0.32,0.8,0.2,0.99,0.01,0.88,0.12
2022-04-01,0.45,0.18,0.37,0.82,0.18,0.99,0.01,0.94,0.06
2022-04-02,0.56,0.14,0.3,0.73,0.27,0.97,0.03,0.9,0.1
2022-04-03,0.43,0.17,0.4,0.83,0.17,1.0,0.0,0.93,0.07
2022-04-04,0.47,0.16,0.37,0.77,0.23,0.98,0.02,0.93,0.07
2022-04-05,0.47,0.22,0.31,0.78,0.22,0.99,0.01,0.92,0.08
2022-04-06,0.43,0.24,0.33,0.81,0.19,1.0,0.0,0.86,0.14
2022-04-07,0.42,0.23,0.35,0.82,0.18,1.0,0.0,0.87,0.13
2022-04-08,0.49,0.21,0.3,0.83,0.17,0.99,0.01,0.91,0.09
2022-04-09,0.39,0.26,0.35,0.8,0.2,0.98,0.02,0.9,0.1
2022-04-10,0.46,0.26,0.28,0.74,0.26,0.99,0.01,0.89,0.11
2022-04-11,0.46,0.24,0.3,0.84,0.16,0.99,0.01,0.87,0.13
2022-04-12,0.42,0.31,0.27,0.8,0.2,1.0,0.0,0.9,0.1
2022-04-13,0.42,0.24,0.34,0.81,0.19,1.0,0.0,0.91,0.09
2022-04-14,0.39,0.21,0.4,0.73,0.27,1.0,0.0,0.94,0.06
2022-04-15,0.48,0.22,0.3,0.81,0.19,0.99,0.01,0.89,0.11
2022-04-16,0.37,0.2,0.43,0.86,0.14,0.98,0.02,0.88,0.12
2022-04-17,0.56,0.19,0.25,0.8,0.2,1.0,0.0,0.9,0.1
2022-04-18,0.37,0.27,0.36,0.79,0.21,0.99,0.01,0.85,0.15
2022-04-19,0.52,0.14,0.34,0.78,0.22,1.0,0.0,0.9,0.1
2022-04-20,0.41,0.2,0.39,0.8,0.2,0.99,0.01,0.93,0.07
2022-04-21,0.42,0.2,0.38,0.79,0.21,0.96,0.04,0.86,0.14
2022-04-22,0.44,0.19,0.37,0.87,0.13,0.99,0.01,0.95,0.05
2022-04-23,0.49,0.15,0.36,0.69,0.31,0.99,0.01,0.92,0.08
2022-04-24,0.52,0.15,0.33,0.81,0.19,0.99,0.01,0.91,0.09
2022-04-25,0.31,0.35,0.34,0.73,0.27,0.99,0.01,0.87,0.13
2022-04-26,0.43,0.21,0.36,0.84,0.16,0.97,0.03,0.88,0.12
2022-04-27,0.38,0.34,0.28,0.77,0.23,1.0,0.0,0.8,0.2
2022-04-28,0.4,0.19,0.41,0.9,0.1,1.0,0.0,0.92,0.08
2022-04-29,0.4,0.2,0.4,0.79,0.21,0.98,0.02,0.91,0.09
2022-04-30,0.5,0.18,0.32,0.77,0.23,0.99,0.01,0.93,0.07
2022-05-01,0.49,0.21,0.3,0.8,0.2,0.99,0.01,0.9,0.1
2022-05-02,0.46,0.24,0.3,0.89,0.11,0.99,0.01,0.9,0.1
2022-05-03,0.38,0.24,0.38,0.71,0.29,1.0,0.0,0.88,0.12
2022-05-04,0.36,0.3,0.34,0.73,0.27,1.0,0.0,0.81,0.19
2022-05-05,0.54,0.17,0.29,0.75,0.25,1.0,0.0,0.91,0.09
2022-05-06,0.48,0.2,0.32,0.79,0.21,0.98,0.02,0.85,0.15
2022-05-07,0.42,0.19,0.39,0.81,0.19,1.0,0.0,0.91,0.09
2022-05-08,0.41,0.22,0.37,0.79,0.21,0.99,0.01,0.9,0.1
2022-05-09,0.4,0.22,0.38,0.8,0.2,1.0,0.0,0.83,0.17
2022-05-10,0.48,0.21,0.31,0.82,0.18,0.96,0.04,0.89,0.11
2022-05-11,0.41,0.21,0.38,0.81,0.19,0.99,0.01,0.9,0.1
2022-05-12,0.44,0.27,0.29,0.71,0.29,1.0,0.0,0.88,0.12
2022-05-13,0.52,0.17,0.31,0.79,0.21,0.99,0.01,0.94,0.06
2022-05-14,0.46,0.18,0.36,0.79,0.21,1.0,0.0,0.88,0.12
2022-05-15,0.39,0.28,0.33,0.78,0.22,1.0,0.0,0.87,0.13
2022-05-16,0.37,0.22,0.41,0.77,0.23,1.0,0.0,0.97,0.03
2022-05-17,0.36,0.23,0.41,0.75,0.25,0.99,0.01,0.86,0.14
2022-05-18,0.55,0.18,0.27,0.74,0.26,0.99,0.01,0.91,0.09
2022-05-19,0.43,0.25,0.32,0.77,0.23,0.99,0.01,0.88,0.12
2022-05-20,0.55,0.24,0.21,0.83,0.17,0.99,0.01,0.86,0.14
2022-05-21,0.46,0.17,0.37,0.8,0.2,1.0,0.0,0.95,0.05
2022-05-22,0.46,0.23,0.31,0.84,0.16,0.99,0.01,0.91,0.09
2022-05-23,0.38,0.23,0.39,0.85,0.15,1.0,0.0,0.89,0.11
2022-05-24,0.26,0.47,0.27,0.79,0.21,1.0,0.0,0.83,0.17
2022-05-25,0.43,0.24,0.33,0.82,0.18,0.97,0.03,0.89,0.11
2022-05-26,0.42,0.26,0.32,0.86,0.14,1.0,0.0,0.88,0.12
2022-05-27,0.49,0.28,0.23,0.74,0.26,0.99,0.01,0.85,0.15
2022-05-28,0.34,0.28,0.38,0.83,0.17,1.0,0.0,0.9,0.1
2022-05-29,0.4,0.25,0.35,0.85,0.15,0.99,0.01,0.94,0.06
2022-05-30,0.37,0.18,0.45,0.81,0.19,0.99,0.01,0.87,0.13
2022-05-31,0.46,0.2,0.34,0.87,0.13,0.99,0.01,0.92,0.08
2022-06-01,0.49,0.24,0.27,0.87,0.13,0.97,0.03,0.91,0.09
2022-06-02,0.46,0.27,0.27,0.81,0.19,0.99,0.01,0.86,0.14
2022-06-03,0.34,0.25,0.41,0.74,0.26,0.98,0.02,0.92,0.08
2022-06-04,0.53,0.15,0.32,0.82,0.18,0.98,0.02,0.92,0.08
2022-06-05,0.51,0.19,0.3,0.86,0.14,0.98,0.02,0.86,0.14
2022-06-06,0.45,0.19,0.36,0.76,0.24,0.99,0.01,0.9,0.1
2022-06-07,0.37,0.22,0.41,0.85,0.15,1.0,0.0,0.87,0.13
2022-06-08,0.47,0.17,0.36,0.74,0.26,1.0,0.0,0.93,0.07
2022-06-09,0.35,0.18,0.47,0.85,0.15,1.0,0.0,0.94,0.06
2022-06-10,0.32,0.23,0.45,0.77,0.23,1.0,0.0,0.95,0.05
2022-06-11,0.5,0.13,0.37,0.81,0.19,1.0,0.0,0.89,0.11
2022-06-12,0.58,0.11,0.31,0.81,0.19,1.0,0.0,0.91,0.09
2022-06-13,0.37,0.2,0.43,0.88,0.12,1.0,0.0,0.92,0.08
2022-06-14,0.43,0.21,0.36,0.79,0.21,0.99,0.01,0.87,0.13
2022-06-15,0.41,0.22,0.37,0.79,0.21,0.99,0.01,0.92,0.08
2022-06-16,0.49,0.18,0.33,0.8,0.2,1.0,0.0,0.9,0.1
2022-06-17,0.45,0.19,0.36,0.88,0.12,1.0,0.0,0.92,0.08
2022-06-18,0.45,0.19,0.36,0.78,0.22,1.0,0.0,0.88,0.12
2022-06-19,0.45,0.29,0.26,0.8,0.2,1.0,0.0,0.85,0.15
2022-06-20,0.42,0.21,0.37,0.78,0.22,0.99,0.01,0.88,0.12
2022-06-21,0.46,0.22,0.32,0.82,0.18,0.99,0.01,0.88,0.12
2022-06-22,0.49,0.19,0.32,0.82,0.18,1.0,0.0,0.88,0.12
2022-06-23,0.37,0.19,0.44,0.85,0.15,0.99,0.01,0.92,0.08
2022-06-24,0.27,0.36,0.37,0.77,0.23,0.99,0.01,0.89,0.11
2022-06-25,0.37,0.37,0.26,0.84,0.16,0.97,0.03,0.83,0.17
2022-06-26,0.47,0.22,0.31,0.76,0.24,0.99,0.01,0.91,0.09
2022-06-27,0.46,0.23,0.31,0.83,0.17,1.0,0.0,0.92,0.08
2022-06-28,0.38,0.33,0.29,0.75,0.25,0.99,0.01,0.92,0.08
2022-06-29,0.41,0.24,0.35,0.82,0.18,0.99,0.01,0.85,0.15
2022-06-30,0.46,0.19,0.35,0.72,0.28,0.98,0.02,0.86,0.14
2022-07-01,0.52,0.18,0.3,0.85,0.15,0.99,0.01,0.91,0.09
2022-07-02,0.46,0.2,0.34,0.79,0.21,0.99,0.01,0.94,0.06
2022-07-03,0.49,0.2,0.31,0.84,0.16,1.0,0.0,0.93,0.07
2022-07-04,0.45,0.21,0.34,0.76,0.24,0.99,0.01,0.87,0.13
2022-07-05,0.4,0.29,0.31,0.83,0.17,0.98,0.02,0.87,0.13
2022-07-06,0.39,0.24,0.37,0.83,0.17,1.0,0.0,0.87,0.13
2022-07-07,0.51,0.17,0.32,0.81,0.19,1.0,0.0,0.93,0.07
2022-07-08,0.37,0.2,0.43,0.82,0.18,0.99,0.01,0.92,0.08
2022-07-09,0.39,0.27,0.34,0.78,0.22,0.99,0.01,0.88,0.12
2022-07-10,0.34,0.21,0.45,0.79,0.21,0.99,0.01,0.89,0.11
2022-07-11,0.4,0.2,0.4,0.82,0.18,1.0,0.0,0.86,0.14
2022-07-12,0.51,0.21,0.28,0.87,0.13,0.99,0.01,0.88,0.12
2022-07-13,0.43,0.17,0.4,0.82,0.18,1.0,0.0,0.89,0.11
2022-07-14,0.45,0.16,0.39,0.81,0.19,0.99,0.01,0.84,0.16
2022-07-15,0.36,0.21,0.43,0.87,0.13,1.0,0.0,0.88,0.12
2022-07-16,0.39,0.16,0.45,0.86,0.14,1.0,0.0,0.95,0.05
2022-07-17,0.33,0.3,0.37,0.77,0.23,1.0,0.0,0.88,0.12
2022-07-18,0.41,0.25,0.34,0.81,0.19,0.99,0.01,0.9,0.1
2022-07-19,0.4,0.19,0.41,0.8,0.2,1.0,0.0,0.9,0.1
2022-07-20,0.36,0.23,0.41,0.9,0.1,1.0,0.0,0.87,0.13
2022-07-21,0.33,0.29,0.38,0.85,0.15,1.0,0.0,0.89,0.11
2022-07-22,0.44,0.22,0.34,0.83,0.17,0.99,0.01,0.89,0.11
2022-07-23,0.43,0.17,0.4,0.76,0.24,0.97,0.03,0.92,0.08
2022-07-24,0.39,0.23,0.38,0.86,0.14,1.0,0.0,0.9,0.1
2022-07-25,0.43,0.24,0.33,0.8,0.2,1.0,0.0,0.88,0.12
2022-07-26,0.51,0.18,0.31,0.83,0.17,0.97,0.03,0.9,0.1
2022-07-27,0.45,0.14,0.41,0.75,0.25,0.99,0.01,0.92,0.08
2022-07-28,0.44,0.18,0.38,0.78,0.22,1.0,0.0,0.95,0.05
2022-07-29,0.38,0.18,0.44,0.9,0.1,0.99,0.01,0.92,0.08
2022-07-30,0.47,0.17,0.36,0.76,0.24,0.98,0.02,0.86,0.14
2022-07-31,0.43,0.17,0.4,0.78,0.22,1.0,0.0,0.87,0.13
2022-08-01,0.48,0.15,0.37,0.79,0.21,0.99,0.01,0.96,0.04
2022-08-02,0.37,0.27,0.36,0.81,0.19,1.0,0.0,0.9,0.1
2022-08-03,0.34,0.38,0.28,0.7,0.3,0.99,0.01,0.78,0.22
2022-08-04,0.51,0.21,0.28,0.76,0.24,1.0,0.0,0.91,0.09
2022-08-05,0.41,0.27,0.32,0.81,0.19,1.0,0.0,0.87,0.13
2022-08-06,0.46,0.22,0.32,0.83,0.17,0.98,0.02,0.86,0.14
2022-08-07,0.5,0.18,0.32,0.77,0.23,1.0,0.0,0.92,0.08
2022-08-08,0.32,0.3,0.38,0.74,0.26,1.0,0.0,0.88,0.12
2022-08-09,0.41,0.22,0.37,0.75,0.25,0.99,0.01,0.91,0.09
2022-08-10,0.42,0.2,0.38,0.86,0.14,1.0,0.0,0.94,0.06
2022-08-11,0.44,0.26,0.3,0.82,0.18,1.0,0.0,0.81,0.19
2022-08-12,0.4,0.28,0.32,0.71,0.29,0.99,0.01,0.85,0.15
2022-08-13,0.41,0.19,0.4,0.82,0.18,0.97,0.03,0.91,0.09
2022-08-14,0.46,0.17,0.37,0.76,0.24,0.99,0.01,0.98,0.02
2022-08-15,0.46,0.26,0.28,0.74,0.26,0.99,0.01,0.85,0.15
2022-08-16,0.44,0.18,0.38,0.81,0.19,0.97,0.03,0.88,0.12
2022-08-17,0.47,0.18,0.35,0.82,0.18,1.0,0.0,0.9,0.1
2022-08-18,0.54,0.15,0.31,0.81,0.19,0.98,0.02,0.85,0.15
2022-08-19,0.49,0.21,0.3,0.85,0.15,1.0,0.0,0.91,0.09
2022-08-20,0.48,0.17,0.35,0.82,0.18,0.99,0.01,0.87,0.13
2022-08-21,0.45,0.18,0.37,0.82,0.18,0.99,0.01,0.9,0.1
2022-08-22,0.5,0.19,0.31,0.84,0.16,0.99,0.01,0.92,0.08
2022-08-23,0.34,0.24,0.42,0.78,0.22,0.98,0.02,0.95,0.05
2022-08-24,0.47,0.18,0.35,0.76,0.24,0.99,0.01,0.88,0.12
2022-08-25,0.4,0.22,0.38,0.8,0.2,0.98,0.02,0.9,0.1
2022-08-26,0.43,0.19,0.38,0.76,0.24,0.99,0.01,0.91,0.09
2022-08-27,0.53,0.2,0.27,0.81,0.19,1.0,0.0,0.89,0.11
2022-08-28,0.38,0.21,0.41,0.86,0.14,0.98,0.02,0.92,0.08
2022-08-29,0.47,0.24,0.29,0.82,0.18,1.0,0.0,0.9,0.1
2022-08-30,0.51,0.16,0.33,0.87,0.13,1.0,0.0,0.94,0.06
2022-08-31,0.47,0.14,0.39,0.77,0.23,1.0,0.0,0.94,0.06
2022-09-01,0.36,0.23,0.41,0.75,0.25,0.98,0.02,0.85,0.15
2022-09-02,0.35,0.17,0.48,0.79,0.21,0.99,0.01,0.9,0.1
2022-09-03,0.39,0.25,0.36,0.81,0.19,1.0,0.0,0.87,0.13
2022-09-04,0.44,0.21,0.35,0.88,0.12,1.0,0.0,0.85,0.15
2022-09-05,0.47,0.18,0.35,0.79,0.21,1.0,0.0,0.94,0.06
2022-09-06,0.44,0.25,0.31,0.79,0.21,0.98,0.02,0.85,0.15
2022-09-07,0.53,0.19,0.28,0.89,0.11,0.99,0.01,0.92,0.08
2022-09-08,0.44,0.23,0.33,0.85,0.15,1.0,0.0,0.95,0.05
2022-09-09,0.49,0.22,0.29,0.81,0.19,0.99,0.01,0.89,0.11
2022-09-10,0.55,0.18,0.27,0.8,0.2,0.99,0.01,0.87,0.13
2022-09-11,0.32,0.27,0.41,0.79,0.21,1.0,0.0,0.88,0.12
2022-09-12,0.39,0.26,0.35,0.81,0.19,1.0,0.0,0.87,0.13
2022-09-13,0.42,0.24,0.34,0.8,0.2,0.99,0.01,0.87,0.13
2022-09-14,0.39,0.2,0.41,0.69,0.31,0.99,0.01,0.9,0.1
2022-09-15,0.38,0.27,0.35,0.83,0.17,1.0,0.0,0.91,0.09
2022-09-16,0.46,0.16,0.38,0.84,0.16,0.98,0.02,0.91,0.09
2022-09-17,0.41,0.2,0.39,0.85,0.15,1.0,0.0,0.86,0.14
2022-09-18,0.38,0.21,0.41,0.86,0.14,1.0,0.0,0.82,0.18
2022-09-19,0.47,0.19,0.34,0.8,0.2,1.0,0.0,0.96,0.04
2022-09-20,0.42,0.28,0.3,0.83,0.17,0.98,0.02,0.91,0.09
2022-09-21,0.49,0.2,0.31,0.76,0.24,1.0,0.0,0.88,0.12
2022-09-22,0.45,0.15,0.4,0.75,0.25,0.98,0.02,0.91,0.09
2022-09-23,0.4,0.3,0.3,0.71,0.29,1.0,0.0,0.86,0.14
2022-09-24,0.47,0.23,0.3,0.8,0.2,1.0,0.0,0.88,0.12
2022-09-25,0.37,0.26,0.37,0.82,0.18,0.99,0.01,0.86,0.14
2022-09-26,0.41,0.2,0.39,0.82,0.18,1.0,0.0,0.85,0.15
2022-09-27,0.34,0.29,0.37,0.74,0.26,1.0,0.0,0.9,0.1
2022-09-28,0.46,0.14,0.4,0.88,0.12,0.99,0.01,0.91,0.09
2022-09-29,0.42,0.25,0.33,0.78,0.22,1.0,0.0,0.93,0.07
2022-09-30,0.39,0.24,0.37,0.76,0.24,1.0,0.0,0.9,0.1
2022-10-01,0.58,0.15,0.27,0.85,0.15,1.0,0.0,0.91,0.09
